kpi_id,kpi_raw_names,kpi_canonical_name,theme,value_type,unit,framework_ref,source_page_hint,ground_truth_2024,dashboard_section,scoring_weight,notes
F008,"forest certifications,FSC certified,SFI certification,PEFC certified,certified packaging,forest certified sourcing",Forest Certifications (FSC/SFI/PEFC),biodiversity,boolean,yes/no,FSC,6,Yes,Biodiversity Grid,medium,NEW batch 4 row 55+63. FSC/SFI/PEFC certified fibre for packaging. Source p.6.
F009,"sustainable agriculture,sustainable cotton,regenerative agriculture,sustainable raw materials,cotton sustainability",Sustainable Agriculture Programme,biodiversity,boolean,yes/no,GRI 308,5,Yes,Biodiversity Grid,medium,NEW batch 4 row 61. Sustainable agriculture for cotton and key raw materials confirmed.
F010,"biodiversity programme,biodiversity initiative,ecosystem programme,nature programme,biodiversity action",Biodiversity Programme,biodiversity,boolean,yes/no,TNFD,5,Yes,Biodiversity Grid,medium,NEW batch 4 row 47. Confirmed biodiversity/ecosystem programmes. Source p.5.
P001,"plastics target,plastics reduction,plastic waste target,plastic materials target,sustainable packaging",Plastics Reduction Target,biodiversity,subjective,H/M/L,GRI 306,5,MEDIUM,Biodiversity Grid,low,Indirect targets only (waste diversion + materials conversion).
E001,"hazardous waste generated,hazardous waste manufacturing,hazardous waste production,toxic waste generated",Hazardous Waste Generated (Manufacturing),waste,numeric,MT,GRI 306-3,29,15206,Environmental Grid,medium,"NEW batch 4 row 101. Hazardous Waste Generated in Manufacturing = 15,206 Metric Tons. Source p.29."
W001,"water withdrawal,water consumption,water use,total water,freshwater withdrawal,water intake",Water Withdrawal Total,water,numeric,ML,GRI 303-3,AWAITING,AWAITING,Water Grid,high,Absolute volume not disclosed by Nike. Intensity metric disclosed instead.
W002,"water recycled,water reused,water recycling rate,water reclaimed",Water Recycled/Reused,water,numeric,ML,GRI 303-3,AWAITING,AWAITING,Water Grid,medium,Not found batches 1-4.
W003,"wastewater discharge,water discharged,effluent,water output,wastewater treated,ZDHC wastewater guidelines,zero discharge hazardous chemicals",Wastewater ZDHC Supplier Compliance,water,numeric,%,GRI 303-4,45,90,Water Grid,medium,90%+ strategic suppliers met ZDHC wastewater guidelines FY24.
W004,"water stressed areas,water scarce regions,water risk,water stress operations percent",Operations in Water-Stressed Areas,water,numeric,%,GRI 303-2,AWAITING,AWAITING,Water Grid,medium,Not found batches 1-4.
W005,"board oversight water,board oversight environment,governance environmental issues water,board ESG oversight,CRS&G committee,corporate responsibility sustainability committee",Board-Level Environmental Oversight,water,boolean,yes/no,GRI 2-12,3,Yes,Water Governance,high,All 4 topics (bio/climate/forest/water) confirmed Yes. p.3 + p.40.
W006,"water restoration target,restore water,water replenishment target,13 billion liters,water resilience target",Water Restoration Target,water,boolean,yes/no,GRI 303,6,Yes,Water Governance,medium,13B liter restoration target by FY25. Source p.6.
W007,"cleaner chemistry,ZDHC,hazardous chemicals,clean chemistry supply chain,priority chemistries,chemical management",Cleaner Chemistry / ZDHC Target,water,boolean,yes/no,GRI 303,3,Yes,Water Governance,medium,
W008,"WASH target,water sanitation hygiene,WASH program,water access employees",WASH Target,water,boolean,yes/no,GRI 303,AWAITING,No,Water Governance,low,No formal numeric WASH target disclosed.
W009,"freshwater reduction target,water intensity target,water per kg,water efficiency target,freshwater use reduction",Freshwater Reduction Target,water,boolean,yes/no,GRI 303,4,Yes,Water Governance,high,25% reduction per kg textile dyeing/finishing by FY25.
W010,"water target progress,water reduction achieved,freshwater progress,water stewardship progress,water performance",Water Target Progress vs Goal,water,subjective,H/M/L,GRI 303,45,HIGH,Water Grid,high,15% reduction achieved (60% of target) + 90%+ ZDHC + 53% water restoration = HIGH.
W011,"freshwater intensity,liters per kg,water per kilogram,water intensity dyeing,freshwater use per kg textile,71.4",Freshwater Intensity (FY24 Reported),water,numeric,L/kg,GRI 303,6,71.4,Water Grid,high,CORRECTED batch 4 row 14. Directly reported = 71.4 L/kg. Previous computed estimate was 71.7 — use 71.4.
W012,"freshwater intensity baseline,base year freshwater,FY20 water baseline,water base year,84.4 liters per kg",Freshwater Intensity Base Year (FY20),water,numeric,L/kg,GRI 303,6,84.4,Water Grid,medium,FY20 baseline = 84.4 L/kg.
W013,"water restoration base year,water restored baseline,FY20 water restored,0.7 billion liters baseline",Water Restoration Base Year (FY20),water,numeric,billion_liters,GRI 303,6,0.7,Water Grid,medium,FY20 base = 0.7B liters. Target = 13B by FY25.
W014,"water restored,water replenished,water restoration progress,6.9 billion liters,liters water restored FY24",Water Restored FY24,water,numeric,billion_liters,GRI 303,6,6.9,Water Grid,high,NEW batch 4 row 14. Directly reported = 6.9B liters restored in FY24. 53% of 13B target.
S001,"total employees,total workforce,headcount,number of employees,global employees,FTE count,total workers",Total Workforce,employee,numeric,count,GRI 2-7,35,AWAITING,Social Grid,medium,Total global employees FTE. Key denominator for per-employee metrics. Nike data tables typically p.35-38.
S002,"women employees,female employees,gender diversity workforce,women workforce percent,female representation,women workers",Female Workforce Percentage,employee,numeric,%,GRI 405-1,36,AWAITING,Social Grid,medium,Women as % of total global workforce. Nike FY24 ~49%. Employee diversity tables.
S003,"fatalities,work related deaths,fatal injuries,employee deaths,occupational fatalities,worker deaths owned operated",Employee Fatalities (Owned/Operated),employee,numeric,count,GRI 403-9,37,AWAITING,Social Grid,high,Work-related fatalities at owned/operated facilities. Zero = highest positive signal.
S004,"lost time injury,LTIR,lost time incident rate,injury rate,lost time frequency,LTIFR",Lost Time Incident Rate (LTIR),employee,numeric,rate per 200k hrs,GRI 403-9,37,AWAITING,Social Grid,high,"LTIR = (lost time incidents × 200,000) / hours worked. Standard safety KPI."
S005,"training hours,learning hours,hours per employee,average training hours,employee development hours,training per person",Training Hours per Employee,employee,numeric,hours,GRI 404-1,38,AWAITING,Social Grid,low,Average training/learning hours per employee per year. Human capital investment proxy.
S006,"employee turnover,attrition rate,staff turnover percent,voluntary turnover,turnover rate,employee attrition",Employee Turnover Rate,employee,numeric,%,GRI 401-1,36,AWAITING,Social Grid,low,Total separations / average headcount. Signals workforce stability.
S007,"community investment,social investment,philanthropic spend,Nike foundation,charitable contributions,social contribution",Community Investment,employee,numeric,USD millions,GRI 413-1,39,AWAITING,Social Grid,low,Total community and philanthropic investment including Nike Foundation.
S008,"human rights policy,human rights due diligence,forced labor policy,child labor policy,modern slavery,human rights commitment",Human Rights Policy,employee,boolean,yes/no,GRI 408-1,38,AWAITING,Social Governance,high,"Formal human rights policy covering forced labor, child labor, modern slavery."
S009,"supply chain audits,supplier audits,factory audits,supplier assessments,manufacturing audits,factory inspections",Supply Chain Factory Audits,employee,numeric,count,GRI 414-1,39,AWAITING,Social Governance,high,Supplier factories audited for labor/social compliance. SASB CG-AA-430a.1.
G001,"board independence,independent directors,non-executive directors,board composition independent percent,independent board members",Board Independence,governance,numeric,%,GRI 2-9,3,AWAITING,Governance Summary,high,Independent directors as % of total board. Nike proxy ~75%. Governance section p.3 or proxy.
G002,"women on board,female directors,board gender diversity,women board members,board gender,female board representation",Board Gender Diversity,governance,numeric,%,GRI 405-1,3,AWAITING,Governance Summary,high,Women as % of board directors. Nike ~42%. Governance section p.3 or proxy.
G003,"ceo chair split,chairman ceo separate,independent chair,combined ceo chairman,CEO chairman separation,executive chairman",CEO/Chair Separation,governance,boolean,yes/no,GRI 2-9,3,AWAITING,Governance Summary,high,"Whether CEO and Board Chair roles are separated. Nike: Yes — Donahoe CEO, Parker Executive Chairman."
G004,"esg committee,sustainability committee,board ESG committee,CRS&G committee,corporate responsibility committee,ESG oversight board",ESG Board Committee,governance,boolean,yes/no,GRI 2-12,3,AWAITING,Governance Summary,medium,Formal board-level ESG committee. Nike: CRS&G committee. Confirmed via batch 3 W005.
G005,"ESG linked pay,sustainability linked compensation,ESG executive pay,executive remuneration ESG,performance shares ESG,incentive ESG",ESG-Linked Executive Pay,governance,boolean,yes/no,GRI 2-19,4,AWAITING,Governance Summary,medium,Executive compensation formally linked to ESG KPIs. Growing investor requirement.
G006,"environmental fines,regulatory penalties,ESG fines,environmental violations fines,legal sanctions environmental,government fines penalty",ESG Regulatory Fines,governance,numeric,USD,GRI 2-27,40,AWAITING,Governance Summary,high,Total fines/penalties for environmental or social violations. Zero = positive. GRI 2-27.
G007,"anti-corruption policy,bribery policy,code of conduct ethics,anti-bribery programme,corruption prevention,FCPA compliance",Anti-Corruption Policy,governance,boolean,yes/no,GRI 205-1,38,AWAITING,Governance Summary,medium,Formal anti-bribery and corruption policy. Near-universal for listed companies.
G008,"third party assurance,external assurance ESG,independent verification ESG,audit ESG data,ESG data verified,assurance provider",Third-Party ESG Data Assurance,governance,boolean,yes/no,GRI 2-5,41,AWAITING,Governance Summary,medium,Whether ESG data is externally verified by independent auditor.
W015,"water target supplier coverage,supplier water scope,80 percent suppliers water,dyeing finishing suppliers coverage,textile supplier water coverage",Water Target Supplier Coverage,water,numeric,%,GRI 303,6,80,Water Governance,medium,NEW batch 4 row 9. ~80% of total footwear upper materials and apparel textile suppliers in scope for water reduction target. Shows programme breadth.
W016,"water management policy,water policy,water stewardship policy,water governance policy,water use policy",Water Management Policy,water,boolean,yes/no,GRI 303,38,Yes,Water Governance,medium,NEW Sheet6 row 8. Formal water management policy confirmed. Source p.38.
C022,"internal carbon price,shadow carbon price,carbon pricing,price on carbon,internal carbon cost",Internal Carbon Price,climate,boolean,yes/no,GRI 201,AWAITING,No,Climate Governance,low,Sheet6 rows 38-39. No internal carbon price publicly disclosed. Negative signal — increasingly expected by investors.
F011,"animal welfare policy,animal welfare standards,animal derived materials,leather welfare,animal welfare supply chain",Animal Welfare Policy,biodiversity,boolean,yes/no,GRI 308,5,Yes,Biodiversity Grid,low,NEW Sheet6 rows 43-44. Animal welfare covered in raw materials standards. Applies to suppliers of animal-derived materials. Source p.3-5.
G009,"environmental policy,sustainability policy,environmental commitment,environmental management policy,environmental responsibility policy",Environmental Policy,governance,boolean,yes/no,GRI 2-23,5,Yes,Governance Summary,medium,NEW Sheet6 row 56. Formal environmental policy confirmed via sustainability and purpose policies. Source p.3-5.
CONT001,"supply chain environmental controversy,environmental controversy,pollution controversy,supply chain pollution,toxic water pollution,environmental incident,ecosystem damage controversy",Environmental Controversy Score (Supply Chain),governance,subjective,NONE/MILD/MODERATE/SEVERE,GRI 2-27,AWAITING,MODERATE,Governance Summary,high,"NEW Sheet6 row 64+67+68+69. Supply chain water pollution (China), resource intensity, waste concerns. Historical but partially remediated via ZDHC. Score=MODERATE. Scoring deduction: -8 pts. SEVERE→MODERATE due to active remediation programmes."
CONT002,"greenwashing controversy,product environmental controversy,marketing controversy,environmental product claim,move to zero controversy,sustainability claim controversy",Environmental Controversy Score (Products),governance,subjective,NONE/MILD/MODERATE/SEVERE,GRI 2-27,AWAITING,MODERATE,Governance Summary,medium,NEW Sheet6 row 65. Greenwashing concerns on Move to Zero programme. Score=MODERATE. Scoring deduction: -5 pts. Combined controversy deduction: -13 pts on overall ESG score.
S010,"women in leadership,female leadership,women managers,women directors,female managers percent,women in management,gender leadership",Women in Leadership,employee,numeric,%,GRI 405-1,36,AWAITING,Social Grid,high,Women as % of Director level and above. Signals pipeline equity. Nike FY24 ~45%.
S011,"total recordable incident rate,TRIR,recordable injuries,total recordable incidents,injury frequency,recordable incident rate",Total Recordable Incident Rate (TRIR),employee,numeric,rate per 200k hrs,GRI 403-9,37,AWAITING,Social Grid,high,Broader than LTIR — all recordable incidents. SASB required for apparel sector.
S012,"supplier worker fatalities,contract worker deaths,manufacturing fatalities,supply chain fatalities,factory worker deaths",Supplier Worker Fatalities,employee,numeric,count,GRI 403-9,39,AWAITING,Social Grid,high,Work-related fatalities in supply chain factories. Critical for apparel given SE Asia manufacturing footprint.
S013,"CEO pay ratio,executive pay ratio,median worker pay,CEO to worker ratio,pay ratio,executive compensation ratio",CEO Pay Ratio,employee,numeric,ratio,GRI 2-21,40,AWAITING,Social Grid,medium,CEO total compensation vs median employee. US SEC proxy disclosure. Higher ratio = governance risk.
S014,"supplier code of conduct,supplier standards,vendor code,manufacturing code,factory standards,manufacturing code of conduct",Supplier Code of Conduct,employee,boolean,yes/no,GRI 414-1,38,AWAITING,Social Governance,high,Formal code of conduct for all suppliers. Nike Manufacturing Code of Conduct equivalent.
S015,"diversity equity inclusion,DEI programme,inclusion programme,diversity strategy,belonging initiatives,DEI commitment,racial equity",DEI Programme,employee,boolean,yes/no,GRI 405-1,36,AWAITING,Social Governance,medium,Formal DEI programme with stated goals. Nike has explicit DEI commitments post-2020.
S016,"pay equity,gender pay gap,equal pay,pay parity,fair pay,wage gap,equal remuneration,gender pay equity analysis",Pay Equity Programme,employee,boolean,yes/no,GRI 405-2,36,AWAITING,Social Governance,medium,Formal commitment to gender pay equity with regular auditing. Growing investor expectation.
S017,"employee engagement,employee satisfaction,engagement survey,pulse survey,employee sentiment,engagement score",Employee Engagement Monitoring,employee,boolean,yes/no,GRI 2-7,36,AWAITING,Social Grid,low,Formal employee engagement/satisfaction monitoring conducted. Signals people management quality.
S018,"collective bargaining,union coverage,labor agreement,collective agreement,unionized workers,works council,trade union",Collective Labour Agreement Coverage,employee,numeric,%,GRI 402-1,38,AWAITING,Social Grid,low,% workforce covered by collective bargaining. Typically low for US MNCs.
G010,"board size,number of directors,total board members,board composition size,board seats",Board Size,governance,numeric,count,GRI 2-9,3,AWAITING,Governance Summary,low,Total directors on board. Nike typically 12. Context denominator for independence/diversity %.
G011,"data privacy policy,cybersecurity policy,data protection policy,information security policy,GDPR compliance,privacy programme",Data Privacy / Cybersecurity Policy,governance,boolean,yes/no,GRI 418-1,38,AWAITING,Governance Summary,high,Formal data privacy and cybersecurity policy. Material for Nike given large consumer data footprint.
G012,"ethics hotline,whistleblower channel,reporting channel,ethics reporting,speak up channel,misconduct reporting,whistleblower protection",Ethics Hotline / Whistleblower Channel,governance,boolean,yes/no,GRI 2-26,38,AWAITING,Governance Summary,medium,Anonymous reporting channel for ethics violations. Standard governance requirement.
G013,"CEO pay disclosure,executive remuneration disclosed,executive compensation annual report,top executive pay,CEO salary disclosed",Executive Remuneration Disclosure,governance,boolean,yes/no,GRI 2-19,40,AWAITING,Governance Summary,medium,CEO and senior executive pay disclosed in annual reports. Required for US listed companies via proxy.
G014,"board tenure,average director tenure,length of board service,years on board,director term,board refreshment",Average Board Tenure,governance,numeric,years,GRI 2-9,3,AWAITING,Governance Summary,low,Average years served by directors. 5-10 years = healthy range. Too long = entrenchment risk.
G015,"conflicts of interest policy,conflict of interest,related party transactions,independence policy,board conflict policy",Conflicts of Interest Policy,governance,boolean,yes/no,GRI 2-15,38,AWAITING,Governance Summary,medium,Formal policy managing board/executive conflicts of interest. Standard good governance requirement.
G016,"insider trading policy,share dealing policy,securities trading policy,blackout periods,trading restrictions,insider dealing",Insider Trading Policy,governance,boolean,yes/no,GRI 2-15,38,AWAITING,Governance Summary,low,Formal insider trading policy with blackout periods. Required for listed companies.
G017,"human rights board responsibility,board human rights oversight,human rights governance,board social responsibility",Human Rights Responsibility at Board Level,governance,boolean,yes/no,GRI 2-12,3,AWAITING,Governance Summary,medium,Board has explicit human rights oversight. CRS&G committee scope typically covers this.
